timestamp,uptimeInS,bootCount,lastResetCause,powerAmplifierTemperature,quartzTemperature,isTxOn,lastSyncRssi,averageSyncRssi,lastPacketRssi,averagePacketRssi,environmentRssi,txPacketCounter,txByteCounter,rxPacketCounter,rxByteCounter,badCrcCounter,beaconTxCounter,gsWdtTimeLeftInS,
978912843,2245,484,201326592,31,32,1,32768,32768,32768,32768,-130,207,19320,0,0,0,69,70805,
978912848,2250,484,201326592,31,32,1,32768,32768,32768,32768,-129,207,19320,0,0,0,69,70800,
978912854,2255,484,201326592,31,32,1,32768,32768,32768,32768,-132,207,19320,0,0,0,69,70795,
978912859,2260,484,201326592,31,32,1,32768,32768,32768,32768,-134,207,19320,0,0,0,69,70790,
978912864,2265,484,201326592,31,32,1,32768,32768,32768,32768,-130,207,19320,0,0,0,69,70785,
978912869,2270,484,201326592,32,32,1,32768,32768,32768,32768,-134,210,19600,0,0,0,70,70780,
978912874,2275,484,201326592,31,32,1,32768,32768,32768,32768,-131,210,19600,0,0,0,70,70775,
978912879,2280,484,201326592,31,32,1,32768,32768,32768,32768,-133,210,19600,0,0,0,70,70770,
978912884,2285,484,201326592,31,32,1,32768,32768,32768,32768,-128,210,19600,0,0,0,70,70765,
978912889,2291,484,201326592,31,32,1,32768,32768,32768,32768,-131,210,19600,0,0,0,70,70759,
978912894,2296,484,201326592,31,32,1,32768,32768,32768,32768,-132,210,19600,0,0,0,70,70754,
978912899,2301,484,201326592,31,32,1,32768,32768,32768,32768,-126,212,19788,0,0,0,71,70749,
978912905,2306,484,201326592,31,32,1,32768,32768,32768,32768,-132,213,19880,0,0,0,71,70744,
978912910,2311,484,201326592,31,32,1,32768,32768,32768,32768,-129,213,19880,0,0,0,71,70739,
978912915,2316,484,201326592,31,32,1,32768,32768,32768,32768,-130,213,19880,0,0,0,71,70734,
978912920,2321,484,201326592,31,32,1,32768,32768,32768,32768,-131,213,19880,0,0,0,71,70729,
978912925,2326,484,201326592,31,32,1,32768,32768,32768,32768,-128,213,19880,0,0,0,71,70724,
978912930,2331,484,201326592,31,32,1,32768,32768,32768,32768,-130,214,19974,0,0,0,72,70719,
978912935,2336,484,201326592,31,32,1,32768,32768,32768,32768,-131,216,20160,0,0,0,72,70714,
978912940,2342,484,201326592,31,32,1,32768,32768,32768,32768,-133,216,20160,0,0,0,72,70709,
978912945,2347,484,201326592,31,32,1,32768,32768,32768,32768,-133,216,20160,0,0,0,72,70703,
978912950,2352,484,201326592,31,32,1,32768,32768,32768,32768,-131,216,20160,0,0,0,72,70698,
978912956,2357,484,201326592,31,32,1,32768,32768,32768,32768,-129,216,20160,0,0,0,72,70693,
978912961,2362,484,201326592,31,32,1,32768,32768,32768,32768,-130,216,20160,0,0,0,72,70688,
978912966,2367,484,201326592,31,32,1,32768,32768,32768,32768,-131,219,20440,0,0,0,73,70683,
978912971,2372,484,201326592,31,32,1,32768,32768,32768,32768,-132,219,20440,0,0,0,73,70678,
978912976,2377,484,201326592,31,32,1,32768,32768,32768,32768,-133,219,20440,0,0,0,73,70673,
978912981,2382,484,201326592,31,32,1,32768,32768,32768,32768,-131,219,20440,0,0,0,73,70668,
978912986,2387,484,201326592,31,32,1,32768,32768,32768,32768,-131,219,20440,0,0,0,73,70663,
978912992,2393,484,201326592,31,32,1,32768,32768,32768,32768,-131,219,20440,0,0,0,73,70657,
